panel,variant,strategy,baseline_rank,variant_rank,rank_change
country_equity_etfs,baseline,cross_sectional_momentum,1,1,0
country_equity_etfs,baseline,learned_gbrt,2,2,0
country_equity_etfs,baseline,short_term_reversal,3,3,0
country_equity_etfs,baseline,ts_momentum,4,4,0
country_equity_etfs,same_close,cross_sectional_momentum,1,1,0
country_equity_etfs,same_close,learned_gbrt,2,2,0
country_equity_etfs,same_close,short_term_reversal,3,4,-1
country_equity_etfs,same_close,ts_momentum,4,3,1
country_equity_etfs,zero_cash,cross_sectional_momentum,1,1,0
country_equity_etfs,zero_cash,learned_gbrt,2,2,0
country_equity_etfs,zero_cash,short_term_reversal,3,3,0
country_equity_etfs,zero_cash,ts_momentum,4,4,0
country_equity_etfs,zero_cost,cross_sectional_momentum,1,2,-1
country_equity_etfs,zero_cost,learned_gbrt,2,1,1
country_equity_etfs,zero_cost,short_term_reversal,3,3,0
country_equity_etfs,zero_cost,ts_momentum,4,4,0
country_equity_etfs,costed_comparator,cross_sectional_momentum,1,1,0
country_equity_etfs,costed_comparator,learned_gbrt,2,3,-1
country_equity_etfs,costed_comparator,short_term_reversal,3,2,1
country_equity_etfs,costed_comparator,ts_momentum,4,4,0
country_equity_etfs,vectorized,cross_sectional_momentum,1,1,0
country_equity_etfs,vectorized,learned_gbrt,2,2,0
country_equity_etfs,vectorized,short_term_reversal,3,3,0
country_equity_etfs,vectorized,ts_momentum,4,4,0
us_sector_etfs,baseline,cross_sectional_momentum,1,1,0
us_sector_etfs,baseline,learned_gbrt,2,2,0
us_sector_etfs,baseline,short_term_reversal,4,4,0
us_sector_etfs,baseline,ts_momentum,3,3,0
us_sector_etfs,same_close,cross_sectional_momentum,1,1,0
us_sector_etfs,same_close,learned_gbrt,2,3,-1
us_sector_etfs,same_close,short_term_reversal,4,4,0
us_sector_etfs,same_close,ts_momentum,3,2,1
us_sector_etfs,zero_cash,cross_sectional_momentum,1,1,0
us_sector_etfs,zero_cash,learned_gbrt,2,2,0
us_sector_etfs,zero_cash,short_term_reversal,4,4,0
us_sector_etfs,zero_cash,ts_momentum,3,3,0
us_sector_etfs,zero_cost,cross_sectional_momentum,1,1,0
us_sector_etfs,zero_cost,learned_gbrt,2,2,0
us_sector_etfs,zero_cost,short_term_reversal,4,3,1
us_sector_etfs,zero_cost,ts_momentum,3,4,-1
us_sector_etfs,costed_comparator,cross_sectional_momentum,1,3,-2
us_sector_etfs,costed_comparator,learned_gbrt,2,2,0
us_sector_etfs,costed_comparator,short_term_reversal,4,1,3
us_sector_etfs,costed_comparator,ts_momentum,3,4,-1
us_sector_etfs,vectorized,cross_sectional_momentum,1,1,0
us_sector_etfs,vectorized,learned_gbrt,2,2,0
us_sector_etfs,vectorized,short_term_reversal,4,4,0
us_sector_etfs,vectorized,ts_momentum,3,3,0
