series,observations,block_length,replications,finite_replications,seed,sample_sharpe,ci_95_lower,ci_95_upper,positive_draw_fraction
strategy_net_minus_cash,2011,5,5000,5000,42,-0.1549008935,-0.8319103414,0.5670834127,0.333
strategy_gross_minus_cash,2011,5,5000,5000,42,0.1405276029,-0.5480828135,0.8728955966,0.6526
strategy_net_minus_realized_exposure_attribution,2011,5,5000,5000,42,-1.130771796,-1.809601832,-0.4883597107,0.0004
strategy_gross_minus_realized_exposure_attribution,2011,5,5000,5000,42,-0.7527309063,-1.414827882,-0.116499136,0.0098
strategy_net_minus_target_exposure_costed_comparator,2011,5,5000,5000,42,-0.9228668358,-1.595474121,-0.2893465623,0.0022
target_exposure_costed_comparator_minus_cash,2011,5,5000,5000,42,0.6156461714,-0.03420142956,1.343277443,0.9676
strategy_net_minus_cash,2011,21,5000,5000,42,-0.1549008935,-0.8017630003,0.5583720302,0.3364
strategy_gross_minus_cash,2011,21,5000,5000,42,0.1405276029,-0.5158793035,0.8546406599,0.666
strategy_net_minus_realized_exposure_attribution,2011,21,5000,5000,42,-1.130771796,-1.686832642,-0.5667793025,0
strategy_gross_minus_realized_exposure_attribution,2011,21,5000,5000,42,-0.7527309063,-1.278963616,-0.204431067,0.003
strategy_net_minus_target_exposure_costed_comparator,2011,21,5000,5000,42,-0.9228668358,-1.466362255,-0.3654894353,0.0004
target_exposure_costed_comparator_minus_cash,2011,21,5000,5000,42,0.6156461714,-0.01151273165,1.305301264,0.9732
strategy_net_minus_cash,2011,63,5000,5000,42,-0.1549008935,-0.7053757385,0.4314811541,0.3048
strategy_gross_minus_cash,2011,63,5000,5000,42,0.1405276029,-0.3978417523,0.7233318863,0.6916
strategy_net_minus_realized_exposure_attribution,2011,63,5000,5000,42,-1.130771796,-1.631363864,-0.5991763553,0
strategy_gross_minus_realized_exposure_attribution,2011,63,5000,5000,42,-0.7527309063,-1.222410469,-0.2123940414,0.0036
strategy_net_minus_target_exposure_costed_comparator,2011,63,5000,5000,42,-0.9228668358,-1.419296733,-0.3828504304,0.0002
target_exposure_costed_comparator_minus_cash,2011,63,5000,5000,42,0.6156461714,0.06752169362,1.190897675,0.9872
