date,QQQ,VGT,GLD,TLT,SPY,VIG
2018-01-02,150.222153,19.460476,125.150002,98.705688,236.562195,87.825951
2018-01-03,151.681824,19.663263,124.820000,99.177605,238.058472,88.229080
2018-01-04,151.947205,19.776308,125.459999,99.161880,239.061844,88.563591
2018-01-05,153.473175,19.987255,125.330002,98.878708,240.654953,89.224068
2018-01-08,154.070328,20.082823,125.309998,98.815765,241.095047,89.481407
2018-01-09,154.079849,20.031538,124.730003,97.494347,241.640747,89.773048
2018-01-10,153.719666,19.966278,125.029999,97.376396,241.271057,89.378464
2018-01-11,154.771744,20.096806,125.440002,97.777542,243.031387,89.936028
2018-01-12,155.909119,20.212185,126.959999,97.942696,244.615677,90.553604
2018-01-16,155.463638,20.121275,127.169998,98.351707,243.779587,90.159050
2018-01-17,157.141296,20.428947,126.139999,98.218002,246.103180,91.016823
2018-01-18,157.169785,20.469742,125.860001,97.305557,245.689514,90.888145
2018-01-19,157.662628,20.512861,126.419998,96.794304,246.807297,91.591492
2018-01-22,159.349823,20.671364,126.650002,96.888710,248.814178,91.994659
2018-01-23,160.667252,20.797234,127.279999,97.305557,249.342209,91.848816
2018-01-24,159.624619,20.611927,128.830002,96.778580,249.245331,92.054718
2018-01-25,159.567780,20.558317,127.970001,97.572998,249.350967,92.474998
2018-01-26,162.013184,20.883474,128.070007,97.211174,252.237885,93.367058
2018-01-29,161.226486,20.710983,127.349998,96.534775,250.565552,92.895294
2018-01-30,159.899536,20.503536,126.800003,95.968430,247.995575,92.037514
2018-01-31,160.563019,20.648058,127.650002,96.534775,248.118774,91.908882
2018-02-01,159.198166,20.632906,128.070007,95.135704,247.837036,91.660103
2018-02-02,156.022873,20.052519,126.389999,94.252937,242.441727,89.944595
2018-02-05,149.871475,19.268175,126.709999,95.143570,232.302170,86.367744
2018-02-06,153.842865,19.755331,125.379997,94.552429,236.878998,87.508545
2018-02-07,151.852448,19.533890,124.790001,93.653900,235.594055,87.388458
2018-02-08,145.445053,18.729746,124.980003,93.551453,226.757080,84.249069
2018-02-09,147.956879,19.181931,124.769997,92.960281,230.163361,85.621498
2018-02-12,150.582321,19.524578,125.370003,93.370132,233.543289,86.402039
2018-02-13,151.359528,19.585180,126.080002,93.787926,234.124115,86.685104
2018-02-14,154.193558,19.984924,128.229996,92.747482,237.283890,87.697289
2018-02-15,157.056046,20.370684,128.380005,93.062698,240.311707,88.898140
2018-02-16,156.354660,20.319405,127.959999,93.567177,240.382080,89.172630
2018-02-20,156.667419,20.369511,126.239998,93.157326,238.876999,88.220520
2018-02-21,156.221939,20.268127,125.660004,92.014442,237.688751,87.783043
2018-02-22,156.202972,20.275110,126.300003,92.290276,237.996826,88.031822
2018-02-23,159.397171,20.687679,126.139999,93.110023,241.790298,89.121147
2018-02-26,161.510818,20.996517,126.449997,93.141556,244.598053,90.201920
2018-02-27,159.510925,20.804222,125.129997,93.007553,241.543930,89.181206
2018-02-28,158.487244,20.667864,125.000000,93.598740,239.097061,88.203346
2018-03-01,155.899658,20.342714,124.720001,94.237640,235.620453,87.079674
2018-03-02,157.330948,20.569967,125.389999,93.471573,236.834991,87.362732
2018-03-05,159.074951,20.780918,125.180000,93.218857,239.572311,88.271980
2018-03-06,159.747894,20.850845,126.529999,93.305695,240.179611,88.546455
2018-03-07,160.117493,20.982533,125.720001,93.203049,240.091660,88.452118
2018-03-08,160.999008,21.064116,125.419998,93.740112,241.253464,88.880989
2018-03-09,164.126846,21.480181,125.540001,93.124046,245.451950,90.373482
2018-03-12,164.998932,21.555927,125.540001,93.661125,245.143768,90.081833
2018-03-13,162.752533,21.294876,125.779999,94.134995,243.559555,89.815964
2018-03-14,162.724106,21.299532,125.699997,94.964241,242.309601,89.009644
2018-03-15,162.581940,21.304193,124.900002,94.964241,242.045547,88.915298
2018-03-16,162.098495,21.279438,124.599998,94.624649,242.308090,89.146912
2018-03-19,158.639923,20.861347,124.870003,94.324524,239.029556,88.220520
2018-03-20,159.162109,20.882368,124.309998,93.945442,239.436111,88.546455
2018-03-21,158.469070,20.791275,126.480003,94.048096,238.976639,88.452118
2018-03-22,154.557663,20.233042,125.980003,94.980072,233.002808,86.230492
2018-03-23,150.484863,19.693495,127.610001,94.908966,228.036469,84.832367
2018-03-26,156.076614,20.440924,128.279999,94.545685,234.275299,87.086151
2018-03-27,151.025970,19.747213,127.489998,95.556595,230.289871,85.880447
2018-03-28,149.288605,19.552183,125.730003,95.809326,229.609406,85.940735
2018-03-29,152.022781,19.970274,125.790001,96.275314,232.543304,87.025864
2018-04-02,147.636734,19.489124,127.260002,96.465256,227.523895,85.053696
2018-04-03,149.298126,19.665468,126.300003,95.721252,230.440063,86.199112
2018-04-04,151.652588,19.925896,126.449997,95.523392,232.905563,87.223930
2018-04-05,152.516525,20.009985,125.800003,94.811127,234.743668,87.697609
2018-04-06,148.700043,19.526491,126.389999,95.847893,229.512222,85.777100
2018-04-09,149.744354,19.659624,126.820000,96.006172,230.643341,85.871841
2018-04-10,153.048203,20.143118,127.120003,95.832085,234.310669,86.862251
2018-04-11,152.165268,20.060202,128.110001,96.172440,233.082336,86.414406
2018-04-12,153.997528,20.310122,126.620003,95.467995,234.999939,87.068932
2018-04-13,153.200012,20.229542,127.449997,95.689606,234.310669,86.896706
2018-04-16,154.367767,20.369678,127.629997,95.721252,236.237061,87.947388
2018-04-17,157.690582,20.792442,127.750000,95.982498,238.764526,88.584656
2018-04-18,158.013382,20.757408,127.849998,95.214745,238.941254,88.713852
2018-04-19,156.560837,20.513325,127.599998,94.439087,237.615723,88.179893
2018-04-20,154.083008,20.226030,126.629997,93.758423,235.600830,87.387596
2018-04-23,153.693726,20.141949,125.620003,93.782150,235.565445,87.490929
2018-04-24,150.437393,19.761227,126.230003,93.354744,232.393051,86.173279
2018-04-25,150.617722,19.729696,125.410004,92.729469,232.967468,86.293846
2018-04-26,153.788651,20.130268,124.970001,93.378510,235.335770,86.793335
2018-04-27,153.883591,20.045013,125.500000,94.098732,235.556717,86.896706
2018-04-30,152.791794,19.965603,124.589996,94.264999,233.745102,86.216331
2018-05-01,154.538635,20.206177,123.709999,93.925468,234.160416,85.871841
2018-05-02,153.627258,20.212023,123.650002,93.822327,232.587463,85.053696
2018-05-03,153.608261,20.275085,124.279999,94.242737,232.074936,84.855614
2018-05-04,156.522842,20.656969,124.540001,94.385551,235.079437,85.932114
2018-05-07,157.823441,20.835655,124.570000,94.234825,235.874756,86.052711
2018-05-08,157.662079,20.915066,124.589996,94.147568,235.874756,86.138802
2018-05-09,159.380478,21.189514,124.330002,93.584404,238.154785,86.707222
2018-05-10,161.032349,21.441769,125.180000,94.337944,240.381607,87.361732
2018-05-11,160.880463,21.379877,125.000000,94.575890,241.115082,87.714851
2018-05-14,161.155792,21.353010,124.489998,94.076134,241.229965,87.706230
2018-05-15,159.370956,21.167324,122.480003,93.005295,239.568665,87.223930
2018-05-16,160.424789,21.278263,122.290001,92.648376,240.576019,87.697609
2018-05-17,159.807693,21.173166,122.360001,92.180374,240.372818,87.723427
2018-05-18,158.981735,21.091413,122.410004,92.973564,239.771835,87.766525
2018-05-21,159.874130,21.256077,122.480003,93.021210,241.574554,88.498543
2018-05-22,159.665237,21.205862,122.410004,92.878380,240.903076,87.955978
2018-05-23,161.013397,21.369362,122.540001,93.552635,241.565735,88.352142
